时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2020,,38700.58
2019,1469.3,37987.55
2018,1462.38,36011.82
2017,1455.13,30632.99
2016,1450,27466.15
2015,1442.97,25123.45
2014,1438.69,23567.7
2013,1432.34,21602.12
2012,1426.93,20101.33
2011,1419.36,19195.7
2010,1412.32,17166
2009,1400.7,15046.45
2008,1391.04,14069.86
2007,1378.86,12494.01
2006,1368.08,10572.24
2005,1360.26,9154.18
2004,1352.39,7450.27
2003,1341.77,6250.81
2002,1334.23,5408.76
2001,1327.14,4950.84
2000,1321.63,4551.15
1999,1313.12,4034.96
1998,1306.58,3688.2
1997,1305.46,3360.21
1996,1304.43,2902.2
1995,1301.37,2462.57
1994,1298.81,1971.92
1993,1294.74,1511.61
1992,1289.37,1114.32
1991,1287.2,893.77
1990,1283.35,756.45
1989,1276.45,696.54
1988,1262.42,648.3
1987,1249.51,545.46
1986,1232.33,490.83
1985,1216.69,466.75
1984,1204.78,390.85
1983,1194.01,351.81
1982,1180.51,337.07
1981,1162.84,324.76
1980,1146.52,311.89
1979,1132.14,286.43
1978,1098.28,272.81
1977,1086.47,230.36
1976,1081.3,208.12
1975,1076.72,204.12
1974,1073.78,193.45
1973,1070.01,185.35
1972,1064.11,170.98
1971,1066.82,164.86
1970,1072.55,156.67
1969,1093.99,142.3
1968,1108.97,123.24
1967,1105.72,110.04
1966,1095.83,124.81
1965,1093.79,113.55
1964,1086.22,100.7
1963,1073.64,90.69
1962,1057.86,84.72
1961,1058.99,101.78
1960,1056.3,158.39
1959,1028.39,128.49
1958,750.8,95.61
1957,689.69,69.6
1956,634.94,63.61
1955,623.1,53.64
1954,662.71,54.7
1953,615.24,51.71
1952,572.63,36.66
1951,552.2,31.52
1950,492.73,22.43
1949,502.92,20.28
