时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1998,152.72,57.87
1999,153.1,56.97
2000,153.7,64.20
2001,154.44,71.70
2002,154.77,77.44
2003,154.91,87.55
2004,155.4,103.11
2005,156.31,128.10
2006,157.09,149.33
2007,158.02,185.26
2008,158.93,223.03
2009,159.88,251.39
2010,160.46,312.57
2011,161.43,385.95
2012,161.91,433.03
2013,161.9,480.07
2014,160.6,528.44
2015,161.61,569.94
2016,162.36,618.17
2017,162.36,681.33
2018,162.23,753.93
2019,162.29,830.07
2020,161.6,853.10
2021,160.8,1004.16
2022,160.1,1059.55
2023,159.4,1112.18
2024,,
