时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,522.94,
2023,520.95,15456.19
2022,519.01,14750.58
2021,515.25,14122.99
2020,508.97,12340.48
2019,502.83,11803.32
2018,497.21,11202.98
2017,493.05,10511.8
2016,486.2,9210.02
2015,480.9,8518.26
2014,477.1,8205.31
2013,472.23,8070.18
2012,470.07,7568.15
2011,467.96,6880.15
2010,466.56,5793.3
2009,465.65,4991.72
2008,464.2,4419.5
2007,461.74,3858.54
2006,457.8,3300.59
2005,452.84,2804.68
2004,447.19,2350
2003,442.54,1901.22
2002,438.58,1580.66
2001,435.9,1360.11
2000,434.61,1200.17
1999,433.4,1138.01
1998,432.21,1052.01
1997,432.29,960.01
1996,430.82,870.01
1995,429.19,761.11
1994,428.32,607.24
1993,426.53,441.41
1992,423.9,288.14
1991,421.22,184.82
1990,417.72,160.44
1989,412.42,145.04
1988,406.80,133.72
1987,400.86,103.61
1986,395.46,89.01 
1985,390.95,79.85 
1984,388.48,59.29 
1983,387.00,46.16 
1982,385.16,40.75 
1981,380.84,37.60 
1980,376.90,35.55 
1979,373.92,29.54 
1978,365.21,24.93 
